"Name";"Description"
"Enterprise Software Categorization";"A placeholder to discuss, track & log our decision regarding software domain and capabilities"
"Domain – API & Integration Tools";"Tools enabling API design, testing, documentation, and system-to-system integration."
"Capability – API Design & Modeling";"Tools to design, map, and document API structures. Examples: Swagger, Stoplight."
"Capability – API Testing & Validation";"Tools for validating API functionality and correctness. Examples: Postman, SoapUI."
"Capability – API Mocking / Sandbox";"Tools that simulate API behavior for testing or development. Examples: WireMock, Mockoon."
"Capability – API Documentation / Spec Management";"Tools managing API documentation and specifications. Examples: OpenAPI, SwaggerHub."
"Capability – Integration / Messaging / Middleware Tools";"Middleware and messaging systems enabling system-to-system communication. Examples: RabbitMQ, MuleSoft."
"Domain – Build & CI/CD";"Tools that automate building, testing, packaging, and delivering software."
"Capability – Build Automation";"Systems that compile and package applications automatically. Examples: Maven, Gradle, Ant."
"Capability – Dependency Management";"Tools that handle build-time and runtime library dependencies. Examples: npm, Composer, Ivy."
"Capability – Continuous Integration / Continuous Delivery";"Automated code integration, testing, and deployment pipelines. Examples: Jenkins, GitLab CI, CircleCI."
"Capability – Artifact Repository & Release Management";"Repositories for storing builds, binaries, and release artifacts. Examples: Nexus, Artifactory."
"Capability – Deployment Automation & Configuration";"Tools that automate application deployment and environment configuration. Examples: Ansible, Terraform, Octopus Deploy."
"Domain – Custom / Internal Applications";"Custom-built tools and scripts tailored for internal business processes."
"Capability – Internal Business Applications";"Business-specific internal software solutions. Examples: ERP, CRM."
"Capability – Custom-built Tools & Scripts";"In-house utilities built to support workflows. Examples: Python automation scripts, VBA macros."
"Capability – Automation / Integration Scripts";"Scripts used to automate internal processes. Examples: Jenkins pipelines, shell scripts."
"Capability – Internal Data & Metadata Management Tools";"Tools used to manage internal datasets or metadata. Examples: Custom SQL dashboards, metadata catalogs."
"Capability – Domain-Specific / Business-Specific Tools";"Tools designed for niche business use cases. Examples: Lab management software, specialized financial apps."
"Domain – Databases & Data Management";"Tools that support storage, design, extraction, and transformation of data."
"Capability – Database Clients & Admin Tools";"Tools used to manage and administer databases. Examples: pgAdmin, SQL Server Management Studio."
"Capability – Data Modeling & Schema Design";"Tools for designing database schemas and data models. Examples: ER/Studio, dbForge Studio."
"Capability – ETL / Data Transformation & Pipelines";"Tools for extracting, transforming, and loading data. Examples: Talend, Apache Nifi."
"Capability – NoSQL / Document / In-memory Databases";"Non-relational databases for high-performance or flexible storage. Examples: MongoDB, Redis, Cassandra."
"Capability – Cloud / On-Prem Data Storage Management";"Tools for managing structured and unstructured data storage solutions. Examples: AWS S3, Azure Blob Storage."
"Domain – Development Tools";"Tools that support software development activities including editing, debugging, scripting, and managing dependencies."
"Capability – Code Editing / IDE";"Tools for writing, navigating, and structuring code efficiently. Examples: Visual Studio, IntelliJ IDEA, Eclipse."
"Capability – Debugging & Diagnostics";"Tools to identify, troubleshoot, and analyze software defects or runtime behavior. Examples: GDB, Chrome DevTools, JetBrains Debugger."
"Capability – Scripting / Automation Tools";"Tools enabling task automation, workflow scripting, and repetitive action reduction. Examples: PowerShell, Bash, Ansible."
"Capability – Language Runtimes / Interpreters";"Execution environments for programming languages. Examples: Node.js, Python interpreter, Java JVM."
"Capability – Package & Dependency Management";"Tools used to install, update, and manage external software dependencies. Examples: npm, Maven, pip."
"Domain – Infrastructure & Hosting";"Tools enabling cloud, container, virtual, and OS hosting infrastructures."
"Capability – Containerization & Container Orchestration";"Tools deploying and managing containers and clusters. Examples: Docker, Kubernetes."
"Capability – Virtualization & VM Management";"Systems managing virtual machines. Examples: VMware vSphere, Hyper-V."
"Capability – Cloud CLI / Cloud Resource Management";"Tools managing cloud services using CLI or consoles. Examples: AWS CLI, Azure CLI."
"Capability – Operating System Platforms & Runtime Environments";"OS-level software and runtimes supporting applications. Examples: Linux, Windows Server, Java Runtime."
"Capability – Configuration / Deployment / Provisioning Tools";"Tools automating infrastructure provisioning and configuration. Examples: Terraform, Ansible, Chef."
"Domain – Media, Graphics & Document Processing";"Tools for editing, converting, or processing multimedia and documents."
"Capability – Image / Graphics Editing Tools";"Tools modifying or creating graphical content. Examples: Photoshop, GIMP."
"Capability – Vector Graphics / Diagram Tools";"Tools creating vector-based diagrams or graphics. Examples: Illustrator, Inkscape."
"Capability – PDF Generation / Editing";"Tools creating, editing, or converting PDFs. Examples: Adobe Acrobat, PDFsam."
"Capability – Media Conversion & Processing Tools";"Tools transforming audio, video, or images. Examples: FFmpeg, HandBrake."
"Capability – Screen Recording / Video Tools";"Tools recording screen activity or creating videos. Examples: OBS Studio, Camtasia."
"Domain – Monitoring & Observability";"Tools that monitor performance, logs, metrics, and operational health."
"Capability – System & Infrastructure Monitoring";"Tools supervising system health and resource usage. Examples: Nagios, Zabbix."
"Capability – Application Performance Monitoring (APM)";"Tools tracking application performance and user behavior. Examples: New Relic, Dynatrace."
"Capability – Log Management & Analysis";"Tools aggregating, searching, and analyzing logs. Examples: ELK Stack, Splunk."
"Capability – Network / Traffic Monitoring & Analysis";"Tools tracking network traffic flow and connectivity. Examples: Wireshark, SolarWinds."
"Capability – Resource / Disk / Memory / Profiling Tools";"Tools evaluating hardware or application resource usage. Examples: Perf, htop, VisualVM."
"Domain – Networking & Connectivity";"Tools that enable network access, secure connectivity, and traffic control."
"Capability – SSH / SFTP / Remote Access Clients";"Tools enabling remote command-line and file access. Examples: PuTTY, FileZilla."
"Capability – VPN / Remote Access Tools";"Tools providing secure network connectivity. Examples: OpenVPN, Cisco AnyConnect."
"Capability – Network / Packet Inspection Tools";"Tools analyzing or inspecting network traffic. Examples: Wireshark, tcpdump."
"Capability – Proxy / Gateway Tools";"Tools routing or controlling network access. Examples: Squid Proxy, NGINX."
"Capability – Network Configuration & Management Tools";"Tools configuring and managing network infrastructure. Examples: NetBox, SolarWinds NCM."
"Domain – Office, Collaboration & Productivity";"Tools supporting collaboration, documentation, and team productivity."
"Capability – Documentation & Wiki Tools";"Tools for creating internal documentation. Examples: Confluence, MediaWiki."
"Capability – Diagramming / Modeling / Flowchart Tools";"Tools for creating diagrams or models. Examples: Lucidchart, Microsoft Visio."
"Capability – Knowledge Management Tools";"Platforms organizing enterprise knowledge. Examples: Notion, SharePoint."
"Capability – Project / Task / Workflow Collaboration Tools";"Tools supporting task management and teamwork. Examples: Jira, Trello."
"Capability – Office / Productivity Suites";"General office applications improving productivity. Examples: Microsoft Office, Google Workspace."
"Domain – Security & Identity";"Tools that ensure security, access control, and protection of assets."
"Capability – Password & Secrets Management";"Tools securing credentials, tokens, and secrets. Examples: HashiCorp Vault, LastPass Enterprise."
"Capability – Certificate & Key Management";"Tools for managing encryption keys and certificates. Examples: AWS KMS, Venafi."
"Capability – Authentication / Identity Management";"Identity systems supporting user authentication and authorization. Examples: Okta, Keycloak."
"Capability – Encryption & Security Hardening Tools";"Tools that encrypt data and harden environments. Examples: OpenSSL, CIS-CAT."
"Capability – Endpoint / Application Security Tools";"Tools that protect applications and endpoints from attacks. Examples: CrowdStrike, Nessus."
"Domain – System Utilities & OS Tools";"General-purpose utilities supporting system operations and productivity."
"Capability – File Management & Explorer Tools";"Tools for navigating and managing files. Examples: Windows Explorer, Total Commander."
"Capability – File Comparison / Diff & Merge Tools";"Tools comparing or merging file contents. Examples: Beyond Compare, Meld."
"Capability – Archive / Compression / Packaging Tools";"Tools packaging or compressing data. Examples: 7-Zip, WinRAR, tar."
"Capability – Terminal / Shell / CLI Tools";"Command-line interfaces for system control. Examples: Bash, PowerShell, Terminal.app."
"Capability – Automation / Macro / Script execution tools";"Tools that automate OS tasks or workflows. Examples: AutoHotkey, Automator."
"Domain – Testing & Quality Assurance";"Tools ensuring software quality, reliability, and performance."
"Capability – Functional Testing";"Tools testing business functionality. Examples: Selenium, TestComplete."
"Capability – API / Integration Testing";"Tools testing APIs and integrated system flows. Examples: Postman, ReadyAPI."
"Capability – Performance & Load Testing";"Tools evaluating speed, capacity, and scalability. Examples: JMeter, Gatling."
"Capability – Security Testing";"Tools validating security vulnerabilities. Examples: OWASP ZAP, Burp Suite."
"Capability – Test Automation Frameworks";"Frameworks automating test execution. Examples: Robot Framework, Cypress."
"Capability – Unit / Integration / Regression Testing Tools";"Tools enabling granular, integration, and regression tests. Examples: JUnit, NUnit."
"Domain – Version Control & Repositories";"Tools that manage source code versions, branching, merging, and repository access."
"Capability – Distributed Version Control (e.g. Git)";"Git-based systems where each user has a full repository clone. Examples: Git, Mercurial."
"Capability – Centralized VCS / Legacy SCM";"Older systems relying on a central repository. Examples: SVN, Perforce."
"Capability – GUI Clients / Repository Browsers";"Graphical tools for viewing and managing repositories. Examples: SourceTree, GitKraken."
"Capability – Branch & Release Management";"Tools supporting branching strategies and release methodology. Examples: Git Flow, GitHub Flow."
"Capability – Merge / Diff / Conflict Resolution Tools";"Tools that compare code and assist with conflict resolution. Examples: Beyond Compare, KDiff3."